Media,Sample,Day_Replicate,OD,Day,Technical_Replicate,Sample_Type,Combined_Group,X_Axis_Time_Days
Regular HS,No Cyano 5,Day 5 Replicate #1,0.195,5,1,No Cyano,Regular HS + No Cyano,5
Regular HS,No Cyano 6,Day 5 Replicate #1,0.136,5,1,No Cyano,Regular HS + No Cyano,5
Regular HS,No Cyano 7,Day 5 Replicate #1,0.125,5,1,No Cyano,Regular HS + No Cyano,5
No Glucose,No Cyano 2,Day 5 Replicate #2,0.054,5,2,No Cyano,No Glucose + No Cyano,5
No Glucose,No Cyano 3,Day 5 Replicate #2,0.052,5,2,No Cyano,No Glucose + No Cyano,5
No Glucose,No Cyano 4,Day 5 Replicate #2,0.054,5,2,No Cyano,No Glucose + No Cyano,5
No Glucose,Filtered Cyano 2,Day 5 Replicate #2,0.101,5,2,Filtered Cyano,No Glucose + Filtered Cyano,5
No Glucose,Filtered Cyano 3,Day 5 Replicate #2,0.11,5,2,Filtered Cyano,No Glucose + Filtered Cyano,5
No Glucose,Filtered Cyano 4,Day 5 Replicate #2,0.091,5,2,Filtered Cyano,No Glucose + Filtered Cyano,5
No Glucose,Filtered Cyano 5,Day 5 Replicate #2,0.036,5,2,Filtered Cyano,No Glucose + Filtered Cyano,5
No Glucose,Filtered Cyano 6,Day 5 Replicate #2,0.077,5,2,Filtered Cyano,No Glucose + Filtered Cyano,5
No Glucose,No Cyano 5,Day 5 Replicate #2,0.092,5,2,No Cyano,No Glucose + No Cyano,5
No Glucose,No Cyano 6,Day 5 Replicate #2,0.076,5,2,No Cyano,No Glucose + No Cyano,5
No Glucose,No Cyano 7,Day 5 Replicate #2,0.078,5,2,No Cyano,No Glucose + No Cyano,5
Regular HS,No Cyano 2,Day 5 Replicate #2,0.119,5,2,No Cyano,Regular HS + No Cyano,5
Regular HS,No Cyano 3,Day 5 Replicate #2,0.066,5,2,No Cyano,Regular HS + No Cyano,5
Regular HS,No Cyano 4,Day 5 Replicate #2,0.179,5,2,No Cyano,Regular HS + No Cyano,5
Regular HS,No Cyano 5,Day 5 Replicate #2,0.196,5,2,No Cyano,Regular HS + No Cyano,5
Regular HS,No Cyano 6,Day 5 Replicate #2,0.144,5,2,No Cyano,Regular HS + No Cyano,5
Regular HS,No Cyano 7,Day 5 Replicate #2,0.13,5,2,No Cyano,Regular HS + No Cyano,5
No Glucose,No Cyano 2,Day 6 Replicate #1,0.06,6,1,No Cyano,No Glucose + No Cyano,6
No Glucose,No Cyano 3,Day 6 Replicate #1,0.054,6,1,No Cyano,No Glucose + No Cyano,6
No Glucose,No Cyano 4,Day 6 Replicate #1,0.055,6,1,No Cyano,No Glucose + No Cyano,6
No Glucose,Filtered Cyano 2,Day 6 Replicate #1,0.108,6,1,Filtered Cyano,No Glucose + Filtered Cyano,6
No Glucose,Filtered Cyano 3,Day 6 Replicate #1,0.097,6,1,Filtered Cyano,No Glucose + Filtered Cyano,6
No Glucose,Filtered Cyano 4,Day 6 Replicate #1,0.092,6,1,Filtered Cyano,No Glucose + Filtered Cyano,6
No Glucose,Filtered Cyano 5,Day 6 Replicate #1,0.052,6,1,Filtered Cyano,No Glucose + Filtered Cyano,6
